Image Name,Uploaded Date,Classify Status,Number of Persons,Missing Hardhat,Missing PPE,Classified Image
WIN_20250221_11_44_31_Pro.jpg,2025-02-25 12:09:46.142728,Yes,2,Yes,Yes,static/uploads/WIN_20250221_11_44_31_Pro.jpg_result.jpg
WIN_20250225_12_14_37_Pro.jpg,2025-02-25 12:15:55.198553,Yes,2,Yes,Yes,static/uploads/WIN_20250225_12_14_37_Pro.jpg_result.jpg
WIN_20241009_11_05_58_Pro.jpg,2025-02-25 13:32:20.412549,Yes,2,Yes,Yes,static/uploads/WIN_20241009_11_05_58_Pro.jpg_result.jpg
